"n" "rep" "id" "b0_hat" "b1_hat" "g0_hat" "g1_hat" "d0_hat" "d1_hat" "l0_hat" "error" "errorMessage"
20 179 1 1.36266951047563 0.569105599118345 0.899331957938484 2.15819307413742 -2.92582619185681 3.01948464085786 0.482255471939882 FALSE ""
90 170 2 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
50 70 3 0.839661119031006 1.53260049515875 0.554669830477001 2.67003462462229 -1.31884572796017 1.08540001971675 1.64692905633179 FALSE ""
40 191 4 0.621805662074877 1.92300426172863 0.857589231236924 2.34049504562523 -2.20561701395032 1.93985804008379 1.56407151880318 FALSE ""
100 48 5 0.884606912575974 1.38344726371954 0.778834891749375 2.37157257836235 -0.923694610871393 0.289450450589293 1.96679987126482 FALSE ""
30 88 6 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
70 33 7 1.22225203084823 1.06879792417171 1.04454215440831 2.2292209239443 -2.64920590949697 2.09898625519 1.42362653743799 FALSE ""
60 31 8 0.983562026636591 1.24910144637125 1.17296352058987 1.68068720684254 -2.430971628689 2.59688721296647 1.97925633418143 FALSE ""
70 26 9 1.09284966152488 1.13331335547512 0.719923790926245 2.36200682705299 -2.20568878730876 2.04679931746321 0.280375552672334 FALSE ""
10 123 10 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
20 55 11 0.918251363027217 1.38598234169292 0.928143737938308 2.0589605092877 -4.03037159954501 4.28749034471343 1.59639405271131 FALSE ""
50 81 12 0.80376526966109 1.290434450071 0.950614931130054 1.92703335628528 -2.47300684655394 2.67002769931302 0.146007371968091 FALSE ""
30 82 13 1.11619837879485 1.38933908434289 1.05031120841905 2.04015642575743 -4.43027998437933 4.33060725224588 0.001 FALSE ""
20 3 14 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
60 95 15 1.04639918443884 1.34174783211705 1.04647403110248 2.05776804387085 -3.15415187432817 2.8892970206865 1.28161100081173 FALSE ""
80 75 16 0.925624963837768 1.46028789259386 0.730451899761092 2.50378262478154 -2.54513342943391 1.98136131668959 0.59271705009306 FALSE ""
70 100 17 0.756866406400798 1.79450556901168 1.0114475253231 2.24323794990566 -3.4147202385189 2.76274388093754 0.742428385750793 FALSE ""
80 56 18 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
70 32 19 0.853958354082067 1.6240846727948 1.06801352286269 1.96758749914363 -2.85077112386457 2.55336102309594 0.940938445442981 FALSE ""
50 164 20 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
60 119 21 0.973955861178086 1.33741475041504 1.17484877428857 1.94048983894895 -3.48461658630401 3.10409450603852 0.896527460236516 FALSE ""
50 157 22 0.94921802142079 1.4995914428033 0.84379768303491 2.2263953434552 -2.82291949439109 2.75252740525729 0.0259468788801665 FALSE ""
40 179 23 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
10 177 24 1.257851149502 0.896543296288858 1.38779827386259 1.69057241474682 -2.64572020607 2.39597165385215 0.001 FALSE ""
40 159 25 0.92086800435046 1.26610010999874 0.900227752765446 2.2348255093259 -2.80848425817111 2.70868360361369 0.001 FALSE ""
70 118 26 1.0520543952397 1.32802712285368 0.810534519277754 2.42751599786754 -2.24885851414732 1.70103390190262 0.737361460152366 FALSE ""
30 27 27 0.880516231853582 0.921020010591766 0.864328028233687 1.81196492377922 -1.27461210295456 1.20028761008382 1.43756412250694 FALSE ""
60 184 28 1.0983943008275 1.28462337468796 1.10465153610454 1.98887230707191 -2.72370297062262 2.3335072553655 0.598068352985486 FALSE ""
20 79 29 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
70 71 30 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
60 35 31 0.865331026977268 1.47373124938576 0.913567215097788 2.33192256997144 -2.39401562603311 1.6188111635747 1.75008237857252 FALSE ""
20 136 32 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
10 187 33 1.16886966987787 1.37074560583433 1.16921465606203 1.3970774945316 -3.57220029292527 3.67005907412189 0.001 FALSE ""
100 142 34 0.992039443244819 1.30986569381317 0.783939607589014 2.36993218322062 -1.72576427106267 1.46483218162692 0.001 FALSE ""
80 9 35 1.14587876944058 1.1143823898053 1.14481553526875 1.96320187601079 -4.09905093598886 3.97422983981512 0.210616866370575 FALSE ""
80 130 36 0.768090106201112 1.67922218802678 0.831518520877988 2.35213637490474 -2.85572762820214 2.65176062684233 0.683864810314537 FALSE ""
50 176 37 0.784509274500908 1.73008175529861 0.977634399820517 2.12789741683214 -1.44968838536957 0.899359510450611 0.579399068332256 FALSE ""
20 155 38 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
60 42 39 0.944616564876268 1.41437890090992 1.18056701581257 1.84329560756324 -2.20557532841048 1.81038286138753 1.03523001308259 FALSE ""
10 122 40 0.778035042265978 1.66976337246147 1.05881003570933 2.35758927934971 -12.7764156139479 13.6113488500747 0.001 FALSE ""
50 52 41 1.09130478043737 1.25610620227614 1.02282247421491 2.08649551726657 -2.53205194135952 2.15703993606181 1.02210200210496 FALSE ""
50 122 42 1.0472623939072 1.05329080511513 1.02896192057429 1.92282484566772 -1.87192586333235 1.8642379068511 0.892868255305078 FALSE ""
70 90 43 0.921886692507065 1.33903728178224 0.977950031011606 2.17119865497955 -1.77531109830172 1.24047304751444 0.001 FALSE ""
10 162 44 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
90 58 45 0.977090535601523 1.41605945956424 1.07823606101652 2.07277907264656 -3.67426129681196 3.41488867128604 0.277379161343293 FALSE ""
30 117 46 1.3970118362708 0.782183711966616 1.05809254987306 2.02994053990331 -3.34560302326332 3.10685987251762 0.001 FALSE ""
