"n" "rep" "id" "b0_hat" "b1_hat" "g0_hat" "g1_hat" "d0_hat" "d1_hat" "l0_hat" "error" "errorMessage"
60 191 1 1.2001425419643 0.926828619941935 1.15466227080727 1.73657377569281 -2.2277199416873 2.10694492372636 1.50690039476113 FALSE ""
50 15 2 0.848849719581027 1.2835228281543 0.842880625784417 2.36504940126623 -2.17495692751909 1.70403911636137 0.264807931207207 FALSE ""
20 182 3 1.21703945068967 1.19628985887851 1.28276364046289 1.95840247214369 -4.73001910420425 5.55566059939287 1.69790530344772 FALSE ""
100 102 4 0.771979741361854 1.58675400182035 1.08625248474532 2.06763252478153 -2.42248848642004 1.85365397482094 1.26470901177233 FALSE ""
20 106 5 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
50 48 6 0.9489686233238 1.26682598360101 0.765330794805917 2.33147159336882 -1.30154238140194 0.826726921001546 0.001 FALSE ""
60 93 7 0.986047761082997 1.5233592715532 0.832773232214234 2.36638759860379 -2.53837915399386 1.99309361907371 0.728205707356445 FALSE ""
20 48 8 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
40 167 9 0.928943621140931 1.46274768459099 1.03302284463645 1.89895324032162 -2.62786071103878 2.36555232628246 1.39576543949932 FALSE ""
80 78 10 1.16097483406497 1.1309408429914 1.00627943691799 2.25676883805427 -3.61456600253781 3.22363294021696 1.96794371720404 FALSE ""
100 37 11 1.07432798356118 1.19823768687218 1.03458411960724 2.14046124164523 -2.28329331850457 1.77821540978619 1.92157586327464 FALSE ""
20 20 12 0.920695008261206 1.0934274640377 0.867273651918252 2.29545683764403 -2.08583771959806 2.17522417726498 0.625871677779168 FALSE ""
100 117 13 0.816890180234904 1.43019505504475 0.930722542891461 1.99318524358111 -1.31740493074726 0.839321776890321 0.696213840190525 FALSE ""
100 55 14 0.914054702082992 1.50060343626965 1.16963847026953 1.82089677919512 -3.02182240278198 2.91916809164639 1.56669700897412 FALSE ""
20 195 15 1.06580906456297 1.40227066123438 0.771792240162936 2.7922493310888 -1.58042688405993 -14.8311609792777 0.001 FALSE ""
30 161 16 0.752206401645671 1.62539915914569 1.15678186806512 1.67967834966495 -2.63078336413192 3.02901576352296 0.001 FALSE ""
20 97 17 0.978717225081776 1.53043555478056 1.03149826505412 1.96347843368355 -4.44966443160047 4.1729669571239 1.18685718838145 FALSE ""
20 67 18 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
80 75 19 0.822386023103606 1.37748371378527 0.91961898611731 2.00238246797002 -2.24172664092186 2.52331620234792 2.34462004092475 FALSE ""
60 174 20 1.03471612954742 1.3130876611948 1.04339290165848 2.17656862448299 -3.13893235275394 2.50670689106608 0.705255422982882 FALSE ""
30 173 21 1.08157404510738 0.996560975183235 0.574033553547378 2.72661045623149 -0.775928751590831 -0.151918951748868 0.001 FALSE ""
30 29 22 0.641145881366273 1.52107959390834 1.0263722795602 1.81590670357881 -1.72740235862142 1.61605410158098 0.00249924727028873 FALSE ""
50 160 23 0.754817782483475 1.62515920645178 1.09807890934798 1.70798988072453 -3.55760107421277 4.05917710139291 0.472876171167387 FALSE ""
50 49 24 0.877243827049707 1.48864647185235 0.993689065207838 2.1031747240333 -1.86481722983221 1.18582357759404 0.741414972632484 FALSE ""
80 185 25 1.16355812495212 1.18201510484919 1.01090532174639 2.20358224082547 -3.89818670728967 3.98921399028775 0.405339075119217 FALSE ""
60 121 26 0.89463756467189 1.24953001772435 0.8630950571716 2.2050376952572 -2.4382438150429 2.39090914593618 0.001 FALSE ""
80 27 27 1.07782894898193 1.09379673697903 0.795591340565736 2.40447441379297 -1.88553083110753 1.15353446778431 1.57085855545674 FALSE ""
40 137 28 0.924485159681424 1.26954458981678 0.897832556937581 2.18085843012729 -1.65484222244514 1.29149775501878 1.05671948998583 FALSE ""
30 84 29 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
100 38 30 0.949733721925101 1.22871527469728 0.921214412796947 2.15290300385929 -2.12502013640399 1.85194737831445 0.001 FALSE ""
20 150 31 0.995462721753755 1.58127035206441 0.421544075524602 3.10101070364516 -2.32076344388833 1.42579855159109 0.440065508380321 FALSE ""
60 130 32 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
40 94 33 1.14605732933001 1.17995379108157 1.3213900457359 1.71379379392784 -2.7112186989668 2.21782663526151 1.91133389321176 FALSE ""
50 178 34 1.23595383610013 1.1971048524686 1.30109929610231 1.70078951496291 -5.01447954940889 5.38630166759314 1.94018782733109 FALSE ""
60 85 35 1.16925418411611 1.0978971180221 1.23271115646002 2.03048481748178 -2.97914265232974 2.12761921942712 1.18062326328287 FALSE ""
40 59 36 0.645432427532925 1.79025125831717 1.17088398653596 1.75995790908989 -2.27440890267216 2.25264341685863 0.001 FALSE ""
50 154 37 1.0540556614557 1.21179193145425 0.982446417608938 2.11820205124822 -2.21838207606807 1.95165050717409 1.18836782663912 FALSE ""
70 84 38 0.99081266889007 1.31299443083921 0.968201922924492 2.31925751580056 -1.69794645308336 1.1122987926317 1.60804363347617 FALSE ""
10 164 39 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
60 27 40 1.24936726170168 0.621468849325676 1.01941856214159 2.02517203032939 -1.7351738396396 1.43721318310106 2.37600628892413 FALSE ""
100 189 41 1.10172945462545 1.21324602153726 1.01636477691882 2.03830776703553 -2.73427584202875 2.74622047027942 2.40034959649372 FALSE ""
50 78 42 1.1481008664703 1.05313423790354 1.15064915952991 1.85491155700901 -2.95351110258401 2.9741640277109 0.955008193045946 FALSE ""
20 69 43 0.95841732919861 1.41954894360264 1.17801020066666 1.94127430819491 -3.36767973064814 3.25624650751406 2.40667792403169 FALSE ""
70 58 44 1.11695492988538 1.10304319380675 0.899112749112169 2.16631583899786 -2.81122338363748 2.93337555362119 1.37169193364984 FALSE ""
100 128 45 1.05274209635988 1.3709338714055 1.06196430269419 2.01265608233911 -2.71670234370146 2.52796090372482 0.001 FALSE ""
10 105 46 1.09349547643213 1.71951083038535 0.692935611438457 2.57730672110217 -1.54436224505556 -1.80588927098343 0.001 FALSE ""
90 56 47 1.10553371392915 1.22215371998658 1.00573932733218 2.09895561379912 -2.76555682524503 2.56995256694429 0.617316068498394 FALSE ""
100 26 48 0.885989978584738 1.4121054932644 0.922713011983063 2.17144689796071 -2.1393566886402 1.95762643724664 0.517695863937958 FALSE ""
