"n" "rep" "id" "b0_hat" "b1_hat" "g0_hat" "g1_hat" "d0_hat" "d1_hat" "l0_hat" "error" "errorMessage"
80 35 1 1.24078247229968 1.04162994762344 1.12024281397883 2.17452807844717 -2.18739467906206 1.35942560094764 2.12382013914914 FALSE ""
90 53 2 1.06971320811144 1.30779507178928 1.11141249582574 2.07651690064098 -2.81386804292071 2.50506310895469 0.085992970776555 FALSE ""
70 44 3 1.08882039106158 1.35403829273784 0.995190485040424 2.20944504627251 -3.24499407768835 2.83311218036149 1.33998802559886 FALSE ""
80 87 4 0.951297883344836 1.31705857434547 1.04497528479891 1.88879494283082 -2.26434449019852 2.39246602770502 1.57765931167847 FALSE ""
70 7 5 0.737196313827413 1.66647621136907 1.01985205003423 1.98409347510048 -2.09554706111884 1.85063918297424 0.001 FALSE ""
60 39 6 0.990967967741819 1.2197535594863 0.849421921624069 2.10410828267541 -2.18865279484413 2.25763408367461 0.506132919691728 FALSE ""
10 6 7 -1.3665485665901 3.74090670086966 0.785505618995573 1.98026089143271 -0.941103418398548 1.35440463270284 0.152818421586802 FALSE ""
80 17 8 1.16376076371232 1.14268608801031 1.09005573543622 2.06947316034643 -3.66027277778642 3.28702648621435 0.001 FALSE ""
30 54 9 0.900271357134718 1.46323174477531 1.23613498749869 1.74518684971906 -3.18925844552013 3.44711372124332 0.001 FALSE ""
60 48 10 1.10217062760429 1.2607682206885 1.25906588925652 1.65113869173063 -3.59798539034169 3.53008510534222 1.05666959467659 FALSE ""
80 77 11 0.995694372897673 1.42527361645545 0.862455777512834 2.36086790368726 -2.17614644338579 1.58124229538516 0.656151199851966 FALSE ""
20 42 12 0.420205984606022 1.9917054945757 1.19190475551162 1.57516918141535 -1.79353833290141 1.98284724262205 0.001 FALSE ""
10 55 13 0.968626850940568 1.49437823315054 0.954152841616152 2.47186179524552 -2.41573322460026 0.755662836842755 2.5408346376412 FALSE ""
10 31 14 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
40 78 15 0.979264425291563 1.43504501831694 0.858223177234141 2.42303139825294 -1.04538033403263 0.128999183823704 1.20221761241148 FALSE ""
10 75 16 1.43421013219252 0.513592200069653 1.08127042859701 2.50707576470838 -1.6064121140685 -1.40941959984028 0.511547161895803 FALSE ""
50 49 17 0.81374984382313 1.42511784310941 0.969939864879023 2.05800178655039 -1.51380395536301 1.50977873420659 0.595214505903967 FALSE ""
40 15 18 0.828038230124257 1.51463356510644 1.04097919950939 2.04975293715424 -3.08533023437454 3.01075392585611 1.6002441672624 FALSE ""
40 65 19 0.839469325737719 1.49799088792653 0.712734051269782 2.30461770285101 -1.79990555530088 1.87147047850147 0.001 FALSE ""
10 11 20 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
80 52 21 0.899552877864328 1.21223853319955 0.602537067431533 2.35046296882179 -1.64989820352242 1.58185377349291 0.001 FALSE ""
50 47 22 1.14811635438751 1.36363427087302 0.852081439966413 2.34130330554175 -2.12759723524237 1.67389092593804 0.690051332969461 FALSE ""
100 52 23 0.982360492846674 1.41766840963002 1.02029793534249 2.19753122045499 -2.44147152065724 1.72264174552109 1.43365993241659 FALSE ""
50 60 24 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
70 59 25 0.939902902674969 1.46462028752106 1.10883806849054 1.95694704525515 -2.80672631782079 2.45034590230061 1.30513017855869 FALSE ""
10 33 26 0.571196181048939 2.09455349642763 0.873125547387362 2.32319911997791 -1.41145260838249 1.0846244743837 0.001 FALSE ""
70 19 27 0.918134022198969 1.32672746928511 0.858549702366188 2.18687934550152 -1.94628912603293 1.78988225631522 2.06967552270042 FALSE ""
30 25 28 0.975095946280784 1.30760682279784 0.839399526413753 2.20652096965786 -1.60638201709482 1.16580433352519 2.34741448121488 FALSE ""
60 58 29 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
30 52 30 1.04033250101948 1.28491675503364 1.205535009837 1.93419437917055 -3.37652053135764 3.39114114908867 0.001 FALSE ""
90 87 31 0.991799236137809 1.22880239798426 1.00020294161636 1.91869220714013 -2.63437191663647 2.75434840322869 0.177262548110182 FALSE ""
20 60 32 0.840799646879385 1.32919289506202 0.678642507109571 2.31468194155747 -1.00219976859303 0.658514678410997 0.001 FALSE ""
20 32 33 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
50 76 34 1.28387228825861 0.915547090030072 0.943356555772129 2.06967339348727 -2.10219362871456 1.91958543956335 1.22770594527628 FALSE ""
40 6 35 1.06110924618371 1.25002761557571 1.24642160373288 1.75288381554521 -2.60340500959286 2.28201835520174 0.591243246521199 FALSE ""
90 22 36 0.988100491770262 1.38156669964879 0.940029722288435 2.20281576631985 -1.89660819417701 1.39973037457077 1.50276952254577 FALSE ""
30 46 37 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
50 8 38 0.890256878563089 1.39041897588803 1.04800884071432 1.86722512140495 -1.73696767717673 1.68436920928348 2.2194337451109 FALSE ""
40 67 39 1.0437120459385 1.12031593833664 1.06896936002598 1.98003112649163 -2.18894682106602 1.84242571172256 0.001 FALSE ""
70 76 40 0.901240452808312 1.3466839234332 1.02746588434723 2.02570262669844 -2.25957274792299 2.04989712695054 0.001 FALSE ""
90 2 41 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
30 40 42 1.0235274026942 1.26627372796189 0.824635179931908 2.37511079274562 -2.86629013852963 2.87133640736295 0.963255330029847 FALSE ""
70 37 43 0.917626392107921 1.37443802916115 1.03606007610135 2.16275414270643 -1.97490594400672 1.40754030670277 0.374713855749478 FALSE ""
70 4 44 0.779784528520847 1.55522150274317 0.866185829982948 2.38151200961828 -2.37178655436983 1.92111342822891 0.529281624388809 FALSE ""
20 64 45 1.15944072550968 1.50211292124726 0.908971844848299 2.60568749517216 -3.85328885145817 1.42972521186152 2.32756929550486 FALSE ""
40 47 46 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
90 9 47 1.00626783945227 1.30637443996004 0.877045045606719 2.32343238796431 -2.07151382787197 1.54426460094793 1.1757492676404 FALSE ""
50 68 48 0.904653131768971 1.55950663755253 1.03196102016948 2.14958710856519 -2.63537052769368 1.95053232644593 1.68865411384573 FALSE ""
60 88 49 0.61019399337828 1.76581861691152 0.950913380620532 2.25081040614945 -2.38423443271109 2.12873497548779 0.729762366995542 FALSE ""
40 62 50 0.941124838980029 1.22614597903913 0.883712888280864 2.30126793120329 -1.63156851581778 1.06507409675774 0.928760812118981 FALSE ""
10 50 51 1.32271916049896 0.565913169814863 0.707815027873036 2.67312914299058 -0.653460088462454 -0.513923956530644 0.001 FALSE ""
70 81 52 0.956792154526744 1.56251353922144 1.07936747712639 2.0203535633691 -2.43053882313153 1.96940871139929 1.76174117493972 FALSE ""
90 26 53 0.89649221825268 1.55356115418412 1.24799433497313 1.5621610276646 -2.76741846100897 2.91364827077337 1.47915610465375 FALSE ""
90 33 54 0.937052172134184 1.4220227855077 0.961127063887489 2.13154777261432 -2.05996891386751 1.72099869166337 0.001 FALSE ""
10 19 55 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
50 67 56 1.10154000708968 1.16920196728245 0.887762094329759 2.36680121379776 -2.53583480304898 2.2688823077593 1.53544751164312 FALSE ""
30 66 57 0.997272219823721 1.32879219267376 1.03946374431478 2.01835622307166 -2.44505492301215 2.38019102520418 1.16958635139078 FALSE ""
60 67 58 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
50 37 59 0.734051971449839 1.59541394514717 0.809433969242426 2.32642579522814 -1.34564660663592 0.918829185993148 1.17117139836978 FALSE ""
40 70 60 1.10922147318734 1.26429115155196 1.13561897996007 1.86400650260991 -3.15118631981744 3.13065664499016 0.930337220251037 FALSE ""
60 83 61 0.894664069539196 1.41343036675349 0.822167341740099 2.41401865297277 -2.07176481013803 1.97368200990566 0.799388336016805 FALSE ""
50 82 62 1.18371057652127 1.17575787256857 1.07278927439294 2.11744014714997 -3.6309385179775 3.41021061214484 0.001 FALSE ""
60 34 63 1.20713191873477 0.977432312842334 1.09985901569841 1.86297767408612 -2.02073831912467 1.86703134951112 2.53978848025768 FALSE ""
40 1 64 0.850174507963729 1.56062794416264 0.741314867033307 2.6958058149651 -3.01247129326869 1.93278184011821 1.06847435383318 FALSE ""
50 66 65 0.828593270920742 1.66541039426171 0.978031643896083 1.99991042748871 -3.44901318982594 3.23922906225218 0.907395139376894 FALSE ""
20 56 66 1.09769426657502 1.4864232552651 0.890252810628114 2.6126471059005 -2.15758441085143 0.88270490875537 0.001 FALSE ""
