"n" "rep" "id" "b0_hat" "b1_hat" "g0_hat" "g1_hat" "d0_hat" "d1_hat" "l0_hat" "error" "errorMessage"
30 67 103 1.30478835426726 1.18025016486792 0.923727153341355 2.53019220982653 -3.40113473356384 2.31991773562222 0.933410405747492 FALSE ""
70 96 104 0.830340347586109 1.5266384807049 1.17967561536844 1.93824243811159 -2.76117434664766 2.48395425166137 0.978065247702425 FALSE ""
90 8 105 1.00553188977833 1.31277988894417 0.714257107172403 2.74792159899805 -1.40126709523382 -0.105592594678403 1.19970480518236 FALSE ""
70 34 106 1.15435101180613 1.15518818664669 1.0210334895941 2.25214780442826 -2.47322988103029 1.7527219237456 1.38038152056466 FALSE ""
80 71 107 1.04388722686347 1.3034236950907 1.23322065581457 1.84728711753913 -2.65526482030271 2.29696227119561 1.08097709323904 FALSE ""
80 21 108 0.802733589995273 1.47797458660029 0.913990894250331 2.0238095740392 -1.82637800328715 1.9530429737633 1.87781198169875 FALSE ""
50 48 109 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
30 19 110 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
30 5 111 1.06193204738225 1.33414857324941 1.14153281050179 1.90198649408796 -2.48830821311294 2.00629963953888 1.21548622476335 FALSE ""
100 89 112 0.729875588257775 1.71639087931962 1.25213082827992 1.7866859228931 -2.50213423802947 2.31041047544375 1.71298516516591 FALSE ""
30 87 113 1.20604390687914 0.991121985720292 1.09444080171422 2.14463864362121 -1.38060691135194 0.290299197340253 1.46238254568875 FALSE ""
80 4 114 0.877261497212613 1.42863339135673 0.897829556307507 2.41808534864576 -1.56328925777603 0.182989869309898 1.65572075752626 FALSE ""
70 94 115 0.988891315618081 1.09617974349929 1.07467990203827 1.81224260033288 -2.43875513381235 2.58088795483217 0.57727252893139 FALSE ""
70 65 116 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
90 69 117 1.15939484210914 1.06053598497123 0.95534354160618 2.10741504016273 -1.99760317321944 1.5996871053255 0.232152719816085 FALSE ""
