"n" "rep" "id" "error" "errorMessage" "b0_hat" "b1_hat" "g0_hat" "g1_hat" "d0_hat" "d1_hat" "l0_hat"
80 67 1 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
" NA NA NA NA NA NA NA
20 72 2 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
" NA NA NA NA NA NA NA
10 65 3 FALSE "" 1.54971143873792 0.737111428272194 1.48899481823236 1.94445426576564 -66.1543191950853 70.5145591639667 0.001
10 54 4 FALSE "" 1.15212071685483 1.38463135931623 1.02810355612764 2.3964504561386 -4.32859962449669 3.36124549999678 0.001
100 26 5 FALSE "" 0.771852253209316 1.59662796195389 1.09443328647244 1.81325619449384 -2.37843027880593 2.517780994684 0.394082560240968
100 36 6 FALSE "" 1.08605354596338 1.2972006435586 1.13178034685868 2.04999023681778 -2.65880352403405 2.06529631141592 1.92865708816784
50 90 7 FALSE "" 1.14798670630734 1.28124768765447 1.20007948549668 1.84238239388632 -2.81663606412136 2.47515307673975 2.74142874160406
60 28 8 FALSE "" 0.926417404292474 1.51802097873051 0.805057553590534 2.32181791144817 -2.40986369662147 1.98173251179135 1.03296408428332
60 68 9 FALSE "" 1.00748406821672 1.23987653149302 1.18594174627191 1.9103262886442 -2.64073882014579 2.57826526273344 0.001
40 52 10 FALSE "" 1.00652483409144 1.64213390875654 1.40255379260358 1.5879362586323 -3.68657586318522 3.47207143273906 0.001
20 6 11 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
" NA NA NA NA NA NA NA
80 74 12 FALSE "" 0.920961628342007 1.4266752694858 0.91615621200518 2.31875142343014 -2.31880297111629 1.63108475994629 1.21657854183327
40 4 13 FALSE "" 0.94627533739771 1.48768457037666 1.19381315274406 1.89636053942778 -2.91091888803064 2.50313065933421 1.67252712780964
50 29 14 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
" NA NA NA NA NA NA NA
20 90 15 FALSE "" 1.05235799082321 1.22943950428365 1.01141982596273 1.52556807054779 -3.11539190875352 4.12974598277796 0.491508988703793
20 14 16 FALSE "" 0.858422536369938 1.55691380290179 0.637085732517801 2.69836481657758 -3.24382108060181 2.62341787196268 0.664363172385575
100 57 17 FALSE "" 0.821726708341816 1.58084912519321 0.805039445724019 2.35772270445515 -2.14121651105043 1.74302326560438 1.8905973815959
20 46 18 FALSE "" 1.30921713413876 0.766039095278457 1.00348204859637 2.0159441230858 -3.22061075045234 3.77775542738516 2.1247414590079
10 33 19 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
" NA NA NA NA NA NA NA
50 71 20 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
" NA NA NA NA NA NA NA
100 56 21 FALSE "" 0.918811428108745 1.32438926918375 0.996768725624809 2.17536290524861 -2.1710197935594 1.62569199590411 1.67253861778332
90 93 22 FALSE "" 1.10137229641568 1.24265619992816 0.972078431917123 2.20159262618856 -3.00904315527883 2.60621823123984 0.229772015540858
10 31 23 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
" NA NA NA NA NA NA NA
50 80 24 FALSE "" 0.808113483582695 1.4633159526828 0.882792275284142 2.36533111469788 -2.81793469655914 2.68849626871126 0.666579395054779
10 19 25 FALSE "" 0.705534574949961 1.76716885679405 0.79015960848725 2.70216420865789 -0.0649321665764125 -3.16886233427714 0.001
90 18 26 FALSE "" 0.796353002656909 1.51276826785466 1.08527365581261 2.02129274272145 -2.65637518258384 2.4955488727841 0.663701155097267
20 95 27 FALSE "" 1.11024620659615 1.31295587167733 1.10119786899192 2.28995986397771 -2.67100654228178 0.857012382981635 0.401891430857563
60 45 28 FALSE "" 1.12207887686045 1.27927135547714 1.09488947773937 1.98490377992949 -3.03440374158589 2.87135147817608 0.902300150279757
20 26 29 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
" NA NA NA NA NA NA NA
20 58 30 FALSE "" 1.3527687341925 0.712592421144235 0.770928189396393 2.46996024772643 -0.770032061037927 -0.677166533559124 0.001
10 16 31 FALSE "" 1.33480284260058 0.785022671093488 0.698389835651643 3.13132479782515 -2.23794771665598 1.93412213272817 0.001
40 5 32 FALSE "" 0.942194611952545 1.49598784776383 1.16918575046846 2.03926634666598 -1.84957487423784 1.36356836273281 0.633916850441407
10 87 33 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
" NA NA NA NA NA NA NA
10 57 34 FALSE "" 1.07750760304288 1.46170090629548 1.16240379040394 1.72464411727533 -2.84885314585583 2.91773844960638 1.96356512609534
100 70 35 FALSE "" 0.982021616873129 1.29264399646922 0.92304948364511 2.10171411619605 -3.13750866476276 3.14072430649676 0.001
30 47 36 FALSE "" 1.18521672544464 1.30650568854216 1.16137343079291 2.21713299581647 -4.6718944803874 3.72894074656874 1.09364043281091
50 81 37 FALSE "" 0.966863066114032 1.60644910964064 1.31766647388625 1.7796260303265 -4.33948657868525 3.74263912988147 0.0500322522108508
70 57 38 FALSE "" 0.987578814716265 1.41903408532127 1.19658378521241 1.84854767780465 -2.63672805147025 2.38769485555302 0.001
100 33 39 FALSE "" 0.925318771599428 1.49511611987403 0.932166343972044 2.15267747832982 -2.4302900605967 2.14117115351677 1.27002218857705
80 22 40 FALSE "" 1.08585600468016 1.38568595484762 0.975408335997109 2.27628995022998 -3.67911117827629 3.28928885925916 0.377581223891691
30 35 41 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
" NA NA NA NA NA NA NA
20 77 42 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
" NA NA NA NA NA NA NA
20 99 43 FALSE "" 1.43186393357883 0.852109987777135 0.968199316744879 2.30322226099727 -2.83750427590105 2.23911052860013 0.001
100 23 44 FALSE "" 1.2127899549568 0.982949215036706 1.26301582465118 1.65056555001304 -3.297515521591 3.36870083970315 1.33622687865497
10 61 45 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
" NA NA NA NA NA NA NA
70 7 46 FALSE "" 0.872794430873653 1.33375811811943 1.12833511051743 1.87464301410834 -2.61698177836738 2.75793508927921 0.001
20 75 47 FALSE "" 0.910484273209046 1.35773852677161 1.29914666416114 1.51648901163242 -4.87372671641159 5.93192818243752 1.79795193589241
10 76 48 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
" NA NA NA NA NA NA NA
90 82 49 FALSE "" 1.1898766428754 1.08471112267877 1.17841784058137 1.87080559302575 -2.88143940137515 2.71446151637969 0.656808146129291
30 12 50 FALSE "" 0.95026904644354 1.19027461867041 0.870710782131073 2.01646941992772 -2.10681785635034 2.02449265452322 0.794849235092483
70 58 51 FALSE "" 1.11996365018685 1.16545161676389 1.08935910507282 1.98325444515895 -2.77836020619396 2.52045379751861 1.16978333296885
30 99 52 FALSE "" 1.0589482557562 0.773907310280988 0.988839701237643 1.85417222463936 -1.80825427598779 1.99974661981357 1.24958469320916
80 38 53 FALSE "" 0.979694205958911 1.3653603325929 0.887074145638786 2.13855109063744 -2.52228888639 2.38767543416695 1.32310757660846
60 77 54 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
" NA NA NA NA NA NA NA
10 59 55 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
" NA NA NA NA NA NA NA
80 69 56 FALSE "" 1.0138702476341 1.13648814614831 0.933373110283059 1.8823139438235 -1.69837157070053 1.8156118989771 0.779242340546383
20 25 57 FALSE "" 1.19103802023498 1.43531473149993 0.701472765346924 2.73628627266443 -4.05356726983606 2.59651075198279 1.09375865371495
10 98 58 FALSE "" 0.589716860008528 1.35493365223364 0.31116500658114 3.20909107873216 -2.28954670442878 2.52035733850137 0.001
40 94 59 FALSE "" 0.948308433645203 1.30011358313297 1.08280967282425 2.0072618550635 -1.96545644795934 1.56941130049421 1.53484179091029
10 82 60 FALSE "" 1.24546451236278 1.12531918702821 0.986783677409361 2.29092267722657 -1.8643904893674 1.04447505315122 0.001
