"n" "rep" "id" "b0_hat" "b1_hat" "g0_hat" "g1_hat" "d0_hat" "d1_hat" "l0_hat" "error" "errorMessage"
30 5 1 0.908453081005853 1.39108888002495 0.883119292748504 1.85508690110143 -1.88212490127736 1.81362621597515 2.92325482410976 FALSE ""
20 8 2 1.11114556962082 1.26394744611222 1.15703861205299 1.68319321747277 -2.29451966898485 1.6254265452953 0.614942546029789 FALSE ""
30 8 3 0.870933576917568 1.68089356851943 1.23652452480645 1.73135962849701 -5.10337111442436 6.37411662012762 0.001 FALSE ""
70 6 4 0.685317241576114 1.80797810594466 1.05085168105352 1.95966093584729 -1.015796194725 -0.236049827016915 1.54492266522362 FALSE ""
80 9 5 0.810955850711928 1.61121651898503 0.809007278122923 2.32663052096741 -1.93762380297976 1.69254026510635 1.17128783869749 FALSE ""
70 21 6 1.45960348864827 0.942329946305199 1.13312181177613 2.08417447155086 -2.81546693557382 3.00202710023821 0.001 FALSE ""
60 13 7 0.801318411323556 1.44868668746308 0.770309522990257 2.38893551408161 -2.31600947417649 2.74444392005805 1.66389031946514 FALSE ""
10 40 8 1.80292031851766 -1.4204760030984 -0.00274958517633048 2.47198332725367 -582.82767279417 731.898582656553 3.75744933885165 FALSE ""
30 28 9 1.0466452376808 1.57035294722904 1.37839460385706 1.57236817304249 -1.9051308599483 2.43484947223487 0.224157810829179 FALSE ""
90 17 10 1.22923559315474 1.103849509028 1.13321742351769 1.89868309957665 -2.51699278370412 2.49320463098516 0.854439322681497 FALSE ""
90 32 11 1.49623092287598 0.791902348800759 1.21458481599821 1.84551435060518 -3.9653439953156 5.17084302615282 0.001 FALSE ""
70 28 12 0.957929633931333 1.22736528045772 0.985186449084676 1.97895913460398 -1.55054385876104 0.671642533350531 1.13099721712432 FALSE ""
40 3 13 1.54402517576437 0.912575774503695 1.01609631936002 2.20751037290852 -1.94912846618789 1.66144977444773 0.001 FALSE ""
40 7 14 -0.364845839500035 1.92258636302691 -0.112130873550698 3.34387188408119 -1.20174475424824 1.32988184251587 3.60470904871466 FALSE ""
100 37 15 1.12031497733313 1.21444200122676 0.980583390163066 2.17407764577504 -1.6136710031455 0.895833175427989 0.812701426520376 FALSE ""
80 35 16 1.44285118602325 0.771584253860414 1.30608898122849 1.84595551789935 -2.85839674894589 2.86830082633483 0.001 FALSE ""
90 19 17 1.05724146201603 1.36856677412469 0.920859537398022 2.33822225367895 -1.95640256962519 1.40833555870108 0.994017144922427 FALSE ""
20 14 18 -0.225857085838129 2.67104190138448 0.176635438840639 2.95451279023785 -2.42422192589428 2.19160609461589 3.02859251710156 FALSE ""
70 18 19 0.404235314772057 1.96251433136379 0.9630766728662 2.017382082153 -1.92258755086679 1.53045484175096 1.96490350173052 FALSE ""
100 10 20 1.06851566408362 1.24909195022543 1.10574147245064 1.88076609385119 -2.15578740695569 2.39067716263411 0.256917140554361 FALSE ""
60 10 21 0.843851209704163 1.36319666925816 0.538377413018975 2.66208564757385 -2.58017352456494 2.28711273009474 1.41006270752609 FALSE ""
30 1 22 1.16072990570771 1.11926959393185 1.29344330170702 1.9262652520801 -4.09696275252303 2.14207015438269 0.371718349586633 FALSE ""
20 10 23 1.28741355993236 1.09289277855402 1.19564493553403 1.808080376325 -2.33941391155914 1.9705186779789 0.001 FALSE ""
70 24 24 0.661615483403893 1.64952034257917 0.957443374291998 2.09834812005189 -1.81288295679277 1.36732112743228 2.06817400143343 FALSE ""
50 28 25 0.418723645477315 1.90276261263063 0.927179274244015 2.09339056341854 -1.97729752718021 1.25801617115809 2.04437594956533 FALSE ""
40 19 26 0.164133130504116 2.14238543862603 0.649490599493355 2.53283772877059 -2.08402400422549 1.42766131750728 1.85162965638103 FALSE ""
10 1 27 0.209963528414833 1.87974142834647 1.14955929226129 1.89653984087529 -11.9525103311985 17.1220085217354 3.29586435190738 FALSE ""
90 5 28 1.22427380187138 0.887270973614962 1.2548952338416 1.67693050804501 -1.24935618551922 -0.156302545834513 1.23960050194569 FALSE ""
50 2 29 0.487639751844055 1.77831369825526 1.09995043539372 1.91884441164029 -2.48667160698545 1.87508395532415 1.52221822162595 FALSE ""
60 33 30 1.42041914842325 0.988315885575076 1.27577439957742 1.76974399365981 -3.05873296438347 3.23864830368643 0.001 FALSE ""
30 15 31 0.530308346077536 2.00737334831726 0.850658002389515 2.25988783231795 -1.49033570963646 1.24353684265656 1.45826076030749 FALSE ""
20 4 32 1.34219041628013 0.941408525899498 0.998470343541335 2.21473386347475 -2.37835760245456 0.407676938233324 0.263369381869266 FALSE ""
60 29 33 0.921912634816104 1.16969696325685 0.805634989260603 2.15961008211627 -3.10592727380361 2.42751877205495 1.62150411100168 FALSE ""
50 40 34 1.56325565809182 0.669354242403895 1.16753189878569 2.06529755212996 -2.35455543000426 1.60091143540406 0.298622005734338 FALSE ""
10 38 35 -0.697280249808288 2.53788931620999 -1.33499804538992 5.27494681846572 -1452.54111627379 1918.23621928149 3.35647195730421 FALSE ""
70 7 36 1.18554204821545 1.10831233894728 1.00461135853938 2.07081695855129 -2.40867370421011 2.47778358739988 0.807025062310846 FALSE ""
20 7 37 0.770735186740105 1.4930109812068 1.12203739231323 2.13931803423284 -1.3801190153842 1.43515995533149 1.74164929343369 FALSE ""
30 16 38 1.21430115543579 1.28583404631399 1.48890008317825 1.58061150689864 -2.65437735927512 2.18019060714395 0.134893774181833 FALSE ""
60 40 39 1.27649783367081 0.924796901537616 1.15210314512794 1.92959244238755 -1.36749427627993 0.508622288599997 0.846518533861193 FALSE ""
10 15 40 -0.422599449849564 2.91996381782281 0.966148881643333 1.96513829873333 -20.2004611490531 -5.683775603121 2.09815156585823 FALSE ""
100 17 41 0.835546720122159 1.51062859999079 0.830588894897668 2.34129585504421 -2.20138634590298 1.30744890096304 1.21370753948435 FALSE ""
30 2 42 1.17907172927851 1.11150045868542 0.812214565235789 2.25974056422473 1478.57905709898 -9617.63498878685 0.422100180573442 FALSE ""
30 37 43 1.17444043707301 1.19701876640699 1.16783311299637 1.91188709171383 -1.6955327239239 -0.389362731424769 0.001 FALSE ""
100 35 44 1.0025368264716 1.27304700782372 0.952922770869004 2.20632004655822 -2.1651984221359 1.57790076572495 1.55466157212547 FALSE ""
90 26 45 0.685557830013651 1.72337222105992 0.599156582031475 2.71070997636658 -1.37026634020473 0.825339794521721 1.6439387131076 FALSE ""
