"n" "rep" "id" "b0_hat" "b1_hat" "g0_hat" "g1_hat" "d0_hat" "d1_hat" "l0_hat" "error" "errorMessage"
20 77 1 0.872718214700329 1.84316391014735 0.880362112367309 2.24586347950395 -3.46586056690642 2.96307065462695 0.001 FALSE ""
50 7 2 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_2 must be positive.
"
40 14 3 1.18361125982385 1.26155422257037 0.721872564808068 2.75660938781808 -1.8988406473249 0.39287557071368 0.433438973886665 FALSE ""
20 71 4 1.05984415713388 1.34906272326887 0.619060403198107 2.6533100470863 -1.59791957840558 0.78430631203335 0.933168127478696 FALSE ""
80 70 5 1.26508491313274 1.04034159572502 1.0442654939265 2.26731098845795 -2.86663689282223 2.01154834257095 1.86685980289777 FALSE ""
100 86 6 1.08408813957614 1.38210889588829 1.11182223364088 2.21613614977063 -3.10772019567037 1.92932856396345 1.15055938379793 FALSE ""
10 1 7 1.30184064960153 1.13401368673266 1.46541409035062 1.40814961369151 -3.70010812155643 3.28547840397883 3.44524638340223 FALSE ""
20 38 8 1.50695016562153 0.717049684779816 0.841282438010915 2.21713414586801 -4.50450177189164 4.42475196341859 1.51617774518626 FALSE ""
50 80 9 0.978963342638084 1.44599734353906 1.13206459355085 1.89517802018682 -2.88777869149534 2.62605271176208 0.149455744865528 FALSE ""
70 62 10 1.33217261120231 1.0517495488164 0.84902175788082 2.51241394182006 -2.41502728452722 1.34841058953953 1.87596881851782 FALSE ""
50 52 11 1.06624658625102 0.801226829818973 0.897551038929009 1.90539747547899 -1.48856164721504 1.60235134802524 0.001 FALSE ""
30 79 12 0.928008408412372 1.48070473610006 1.11542727817932 1.95239576571463 -2.46452167514587 2.24327448284691 1.7648522794248 FALSE ""
30 20 13 1.08741419438818 1.36504995861551 0.766960068510096 2.605288177883 -1.81308153485134 0.860640737383881 0.001 FALSE ""
20 99 14 0.936954495942552 1.32873882623768 0.678366489632738 2.83167230083773 -1.13976976855305 -1.36148728529152 0.001 FALSE ""
60 37 15 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
10 54 16 0.990086336766862 1.13514687355627 0.94888645056761 1.99527125441192 -3.48357419803656 4.09947787647951 3.27139837358506 FALSE ""
80 65 17 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
90 24 18 1.04775645538597 1.2558989286781 0.84673085246205 2.40631672158675 -1.87291487140398 1.3594094164736 1.90015021286985 FALSE ""
20 23 19 1.0096664930477 1.25277290696925 0.898801064653789 2.03074735862318 -1.91858803597406 2.53124043188146 0.001 FALSE ""
70 28 20 0.963638744197957 1.41630558471038 1.03563520544866 1.91405790153598 -4.24450952512331 4.81864050989704 1.04210346026507 FALSE ""
50 70 21 1.18018161895831 0.801298433964967 1.28136838991582 1.73485332134808 -2.97705670184243 2.74817070182857 1.55046234170182 FALSE ""
10 88 22 1.16800618616015 1.25977748333761 1.56571175284281 1.57038733559844 -5.94941325324604 5.85358839681945 0.001 FALSE ""
30 51 23 0.815567957643574 1.54794807120247 1.07128543037573 2.01223763009127 -1.95324972111619 1.35545969985074 0.001 FALSE ""
70 6 24 1.23775521700993 0.79878569869701 0.87178427993298 2.29078812558152 -1.99787063459454 1.72347662213063 1.76570288094372 FALSE ""
70 83 25 1.01357422376432 1.38904176994154 1.19515449159163 1.96220190538558 -3.26811270449704 3.22607548981368 1.24306766531716 FALSE ""
20 45 26 NA NA NA NA NA NA NA TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
  lambda_1 must be positive.
"
